5dglcn;O=C(O)C(=O)C(O)C(O)C(O)CO;MNXM582
5mthf;CN1c2c([nH]c(N)nc2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1;MNXM318
6hmhpt;Nc1nc(=O)c2c([nH]1)NCC(CO)=N2;MNXM937
6hmhptpp;Nc1nc(=O)c2c([nH]1)NCC(COP(=O)(O)OP(=O)(O)O)=N2;MNXM1160
6pgc;O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O;MNXM325
6pgl;O=C1OC(COP(=O)(O)O)C(O)C(O)C1O;MNXM429
aacoa;CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM133
aact;CC(=O)CN;MNXM1106
ac;CC(=O)O;MNXM26
acald;CC=O;MNXM75
acanth;CC(=O)Nc1ccccc1C(=O)O;MNXM1939
accoa;CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM21
acetol;CC(=O)CO;MNXM1744
acg5p;CC(=O)NC(CCC(=O)OP(=O)(O)O)C(=O)O;MNXM1384
acg5sa;CC(=O)NC(CCC=O)C(=O)O;MNXM1062
acgam;CC(=O)NC1C(O)OC(CO)C(O)C1O;MNXM143
acgam1p;;
acgam6p;CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O;MNXM6346
acglc-D;CC(=O)OCC1OC(O)C(O)C(O)C1O;MNXM90521
acglu;CC(=O)NC(CCC(=O)O)C(=O)O;MNXM730
acmanap;;
acmum6p;CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1OC(C)C(=O)O;MNXM1490
acolipa;;
acon-C;O=C(O)C=C(CC(=O)O)C(=O)O;MNXM813
aconm;COC(=O)C(=CC(=O)O)CC(=O)O;MNXM3742
acon-T;O=C(O)C=C(CC(=O)O)C(=O)O;MNXM813
acorn;CC(=O)NC(CCCN)C(=O)O;MNXM817
acser;CC(=O)OCC(N)C(=O)O;MNXM418
actp;CC(=O)OP(=O)(O)O;MNXM280
ade;Nc1ncnc2nc[nH]c12;MNXM168
adn;Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O;MNXM212
adp;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O;MNXM7
adpglc;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O;MNXM561
adphep-DD;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(C(O)CO)C(O)C(O)C2O)C(O)C1O;MNXM857
adphep-LD;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(C(O)CO)C(O)C(O)C2O)C(O)C1O;MNXM857
adprib;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O;MNXM527
agm;N=C(N)NCCCCN;MNXM328
ahcys;Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O;MNXM19
ahdt;Nc1nc(=O)c2c([nH]1)NCC(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=N2;MNXM397
aicar;NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N;MNXM365
air;Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O;MNXM388
akg;O=C(O)CCC(=O)C(=O)O;MNXM20
alaala;CC(N)C(=O)NC(C)C(=O)O;MNXM669
ala-B;NCCC(=O)O;MNXM144
alac-S;CC(=O)C(C)(O)C(=O)O;MNXM426
ala-D;CC(N)C(=O)O;MNXM32
ala-L;CC(N)C(=O)O;MNXM32
all6p;O=C(COP(=O)(O)O)C(O)C(O)C(O)CO;MNXM1553
alltn;NC(=O)NC1NC(=O)NC1=O;MNXM612
alltt;NC(=O)NC(NC(N)=O)C(=O)O;MNXM584
allul6p;O=P(O)(O)OCC1OC(O)(CO)C(O)C1O;MNXM795
amet;C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O;MNXM16
ametam;C[S+](CCCN)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O;MNXM321
amp;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O;MNXM14
anhgm;;
anhgm3p;CC(=O)NC1=COC(CO)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(N)C(=O)O)C(=O)O;MNXM63489
anhgm4p;CC(=O)NC1C(OC2C3COC(O3)C(NC(C)=O)C2OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)O)OC(CO)C(O)C1O;MNXM63488
anhm;;
anhm3p;CC(=O)NC1COC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(N)C(=O)O)C(=O)O;MNXM32389
anhm4p;CC(=O)NC1COC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(N)C(=O)O)C(=O)NC(C)C(=O)O;MNXM5405
anth;Nc1ccccc1C(=O)O;MNXM188
apg120;CCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;MNXM40226
apg140;CCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;MNXM40227
apg141;;
apg160;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;MNXM40228
apg161;;
apg180;;
apg181;;
aps;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O;MNXM287
ara5p;O=C(CO)C(O)C(O)COP(=O)(O)O;MNXM145
arg-L;N=C(N)NCCCC(N)C(=O)O;MNXM70
argsuc;NC(=NC(CC(=O)O)C(=O)O)NCCCC(N)C(=O)O;MNXM550
asn-L;NC(=O)CC(N)C(=O)O;MNXM147
asp-L;NC(CC(=O)O)C(=O)O;MNXM42
aspsa;NC(CC=O)C(=O)O;MNXM361
athr-L;;
